,Encoded_Value
Afghanistan,0
Albania,1
Algeria,2
Andorra,3
Angola,4
Antigua and Barbuda,5
Argentina,6
Armenia,7
Australia,8
Austria,9
Azerbaijan,10
Bahrain,11
Bangladesh,12
Barbados,13
Belarus,14
Belgium,15
Belize,16
Benin,17
Bhutan,18
Bolivia,19
Bosnia and Herzegovina,20
Botswana,21
Brazil,22
Brunei,23
Bulgaria,24
Burkina Faso,25
Burundi,26
Cambodia,27
Cameroon,28
Canada,29
Cape Verde,30
Central African Republic,31
Chad,32
Chile,33
China,34
Colombia,35
Comoros,36
Costa Rica,37
Croatia,38
Cuba,39
Cyprus,40
Czech Republic,41
Democratic Republic of the Congo,42
Denmark,43
Djibouti,44
Dominica,45
Dominican Republic,46
Ecuador,47
Egypt,48
El Salvador,49
Equatorial Guinea,50
Eritrea,51
Estonia,52
Eswatini,53
Ethiopia,54
Federated States of Micronesia,55
Fiji,56
Finland,57
France,58
Gabon,59
Georgia,60
Germany,61
Ghana,62
Greece,63
Grenada,64
Guatemala,65
Guinea,66
Guinea-Bissau,67
Guyana,68
Haiti,69
Honduras,70
Hungary,71
Iceland,72
India,73
Indonesia,74
Iran,75
Iraq,76
Israel,77
Italy,78
Ivory Coast,79
Jamaica,80
Japan,81
Jordan,82
Kazakhstan,83
Kenya,84
Kiribati,85
Kuwait,86
Kyrgyzstan,87
Laos,88
Latvia,89
Lebanon,90
Lesotho,91
Liberia,92
Libya,93
Liechtenstein,94
Lithuania,95
Luxembourg,96
Madagascar,97
Malawi,98
Malaysia,99
Maldives,100
Mali,101
Malta,102
Marshall Islands,103
Mauritania,104
Mauritius,105
Mexico,106
Moldova,107
Monaco,108
Mongolia,109
Montenegro,110
Morocco,111
Mozambique,112
Myanmar,113
Namibia,114
Nauru,115
Nepal,116
Netherlands,117
New Zealand,118
Nicaragua,119
Niger,120
Nigeria,121
North Korea,122
North Macedonia,123
Norway,124
Oman,125
Pakistan,126
Palau,127
Palestinian National Authority,128
Panama,129
Papua New Guinea,130
Paraguay,131
Peru,132
Philippines,133
Poland,134
Portugal,135
Qatar,136
Republic of Ireland,137
Republic of the Congo,138
Romania,139
Russia,140
Rwanda,141
Saint Kitts and Nevis,142
Saint Lucia,143
Saint Vincent and the Grenadines,144
Samoa,145
San Marino,146
Sao Tome and Principe,147
Saudi Arabia,148
Senegal,149
Serbia,150
Seychelles,151
Sierra Leone,152
Singapore,153
Slovakia,154
Slovenia,155
Solomon Islands,156
Somalia,157
South Africa,158
South Korea,159
South Sudan,160
Spain,161
Sri Lanka,162
Sudan,163
Suriname,164
Sweden,165
Switzerland,166
Syria,167
Tajikistan,168
Tanzania,169
Thailand,170
The Bahamas,171
The Gambia,172
Timor-Leste,173
Togo,174
Tonga,175
Trinidad and Tobago,176
Tunisia,177
Turkey,178
Turkmenistan,179
Tuvalu,180
Uganda,181
Ukraine,182
United Arab Emirates,183
United Kingdom,184
United States,185
Uruguay,186
Uzbekistan,187
Vanuatu,188
Vatican City,189
Venezuela,190
Vietnam,191
Yemen,192
Zambia,193
Zimbabwe,194
